"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"11164621401348256087","微博导流","11164621401348256087","0","-999999","1.000000","0","373","0","-999999","2","0","7","82","4000.00","21000.00","0.750000","482.0000","1.000000","0","1","1","0","-999999","-999999"
"11164621591086226349","微博导流","11164621591086226349","1","-999999","0.916300","0","-999999","0","-999999","4","0","51","88","500.00","60000.00","0.111100","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164621609333083081","微博导流","11164621609333083081","1","-999999","-999999.000000","0","-999999","0","-999999","6","0","9","36","-999999.00","-999999.00","0.000000","-999999.0000","0.833300","0","1","0","0","-999999","-999999"
"11164621791496746444","微博导流","11164621791496746444","1","-999999","1.000000","0","226","0","27","19","0","23","42","3000.00","4500.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164626568472732712","微博导流","11164626568472732712","1","-999999","1.000000","0","375","0","-999999","17","0","64","49","-999999.00","8000.00","0.400000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164626572280036370","微博导流","11164626572280036370","1","-999999","0.890600","0","114","0","-999999","5","0","31","130","25000.00","97000.00","0.285700","348.0000","0.904800","0","1","1","0","-999999","-999999"
"11164626590751324766","微博导流","11164626590751324766","0","-999999","0.679100","1","560","1","-999999","13","0","39","77","-999999.00","55000.00","0.272700","-999999.0000","0.636400","0","1","1","0","-999999","-999999"
"11164626590830629406","微博导流","11164626590830629406","1","-999999","-999999.000000","0","486","1","-999999","6","0","1","3","-999999.00","0.00","1.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164626593755215504","微博导流","11164626593755215504","1","-999999","1.000000","0","218","1","-999999","8","0","16","21","5000.00","5000.00","0.500000","482.0000","1.000000","0","1","1","0","-999999","-999999"
"11164626622083923452","微博导流","11164626622083923452","0","-999999","1.000000","0","271","0","-999999","8","0","6","24","5000.00","20000.00","0.000000","-999999.0000","0.000000","0","1","1","0","-999999","-999999"
"11164626712332620148","微博导流","11164401933352966786","1","-999999","0.749500","0","292","0","-999999","5","0","22","102","3000.00","60000.00","0.153800","-999999.0000","0.923100","0","1","1","0","-999999","-999999"
"11164626819610324690","微博导流","11164626819610324690","0","-999999","1.000000","0","223","0","-999999","7","0","26","36","18000.00","20000.00","0.500000","-999999.0000","0.500000","0","1","1","0","-999999","-999999"
"11164626966848366990","微博导流","11164626966848366990","1","-999999","-999999.000000","0","97","0","-999999","20","0","42","58","-999999.00","-999999.00","0.428600","-999999.0000","0.857100","0","1","0","0","-999999","-999999"
"11164627478051141111","微博导流","11164627478051141111","0","-999999","1.000000","0","157","0","-999999","9","0","7","62","8000.00","8000.00","0.200000","504.0000","1.000000","0","1","1","0","-999999","-999999"
"11164627553408887345","微博导流","11164627553408887345","0","-999999","0.831900","0","80","0","-999999","5","0","7","96","6000.00","29700.00","0.166700","560.0000","1.000000","0","1","1","0","-999999","-999999"
"11164627666106458693","微博导流","11164627666106458693","0","-999999","0.000000","0","24","0","-999999","29","0","24","72","1.00","8000.00","0.285700","364.0000","1.000000","0","1","1","0","-999999","-999999"
"11164627676066899828","微博导流","11164627676066899828","1","-999999","1.000000","0","-999999","0","-999999","14","0","53","32","3000.00","20000.00","0.967700","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164628323557835840","微博导流","11164628323557835840","2","-999999","-999999.000000","0","3","0","-999999","29","0","27","57","-999999.00","-999999.00","0.608700","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164628843182660355","微博导流","11164628843182660355","0","1","1.000000","0","-999999","0","13","21","1","47","34","4100.00","4100.00","0.793100","-999999.0000","0.965500","0","1","1","0","-999999","-999999"
"11164628879550824117","微博导流","11164628879550824117","0","-999999","-999999.000000","0","91","0","-999999","17","0","14","22","-999999.00","0.00","0.750000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164628960852485760","微博导流","11164628960852485760","0","-999999","0.521100","0","-999999","0","-999999","9","0","21","166","1000.00","37000.00","0.222200","-999999.0000","0.555600","0","1","1","0","-999999","-999999"
"11164629006588015220","微博导流","11164629006588015220","1","-999999","1.000000","1","282","0","46","21","0","73","142","1.00","96000.00","0.750000","308.0000","0.937500","0","1","1","0","-999999","-999999"
"11164629089527340949","微博导流","11164629089527340949","1","1","1.000000","0","-999999","0","10","20","1","24","50","10000.00","10000.00","0.882400","-999999.0000","0.823500","0","1","1","0","-999999","-999999"
"11164630070037638933","微博导流","11164630070037638933","0","-999999","-999999.000000","0","-999999","0","-999999","15","0","6","9","-999999.00","-999999.00","0.000000","-999999.0000","0.800000","0","1","0","0","-999999","-999999"
"11164635206325040070","微博导流","11164635206325040070","1","-999999","-999999.000000","0","-999999","0","-999999","8","0","60","97","-999999.00","-999999.00","0.100000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164635254398389534","微博导流","11164635254398389534","3","-999999","0.865200","0","4","1","32","28","0","79","104","2000.00","50000.00","0.100000","-999999.0000","0.600000","0","1","1","0","-999999","-999999"
"11164635254401929792","微博导流","11164635254401929792","1","-999999","0.413800","0","93","0","-999999","20","0","45","104","-999999.00","12000.00","0.000000","-999999.0000","0.888900","0","1","1","0","-999999","-999999"
"11164635292360666367","微博导流","11164635292360666367","1","-999999","-999999.000000","0","-999999","0","-999999","5","0","4","30","-999999.00","-999999.00","0.500000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164635427753496914","微博导流","11164635427753496914","0","-999999","0.000000","0","-999999","0","29","20","0","59","172","-999999.00","0.00","0.222200","3912.0000","1.000000","0","1","1","0","-999999","-999999"
"11164635614138239889","微博导流","11164635614138239889","0","-999999","1.000000","0","252","0","-999999","21","0","52","34","8000.00","8000.00","0.600000","-999999.0000","0.800000","0","1","1","0","-999999","-999999"
"11164635735330670287","微博导流","11164635735330670287","0","-999999","0.998300","0","168","0","-999999","39","0","157","84","60000.00","60000.00","0.142900","348.0000","1.000000","0","1","1","0","-999999","-999999"
"11164636133170337750","微博导流","11164636133170337750","1","-999999","-999999.000000","0","-999999","0","-999999","4","0","4","7","-999999.00","-999999.00","0.333300","500.0000","1.000000","0","1","0","0","-999999","-999999"
"11164636136744420875","微博导流","11164419642543057631","0","-999999","0.000000","0","-999999","0","-999999","10","0","9","166","10.00","-999999.00","0.875000","248.0000","1.000000","0","1","1","0","-999999","-999999"
"11164636712084651291","微博导流","11164636712084651291","0","-999999","1.000000","1","-999999","0","-999999","24","0","152","158","20000.00","60000.00","0.058800","482.0000","0.823500","0","1","1","0","-999999","-999999"
"11164636720962454186","微博导流","11164636720962454186","0","-999999","-999999.000000","0","-999999","0","-999999","13","0","64","34","-999999.00","-999999.00","0.800000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164636762917273988","微博导流","11164636762917273988","0","-999999","0.750000","0","485","0","-999999","3","0","47","168","1.00","18000.00","0.000000","476.0000","1.000000","0","1","1","0","-999999","-999999"
