"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"D072201290048551915","萨摩耶有限担保","202201290397219978","0","-999999","0.866700","0","100","1","28","14","0","17","55","2000.00","8000.00","0.750000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048552038","萨摩耶无限担保","202201290397220820","0","-999999","1.000000","0","160","2","38","29","0","17","52","-999999.00","4500.00","0.500000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048552038","萨摩耶有限担保","202201290397220820","0","-999999","1.000000","0","160","2","38","29","0","17","52","-999999.00","4500.00","0.500000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048561539","萨摩耶无限担保","202201290395866470","0","-999999","1.000000","0","150","2","-999999","52","0","63","38","-999999.00","3000.00","0.750000","-999999.0000","0.625000","0","1","1","0","-999999","-999999"
"D072201290048561539","萨摩耶有限担保","202201290395866470","0","-999999","1.000000","0","150","2","-999999","52","0","63","38","-999999.00","3000.00","0.750000","-999999.0000","0.625000","0","1","1","0","-999999","-999999"
"D072201290048561540","萨摩耶无限担保","202201290395866466","1","-999999","0.000000","0","596","0","-999999","24","0","16","40","-999999.00","-999999.00","0.250000","-999999.0000","0.500000","0","1","1","0","-999999","-999999"
"D072201290048561540","萨摩耶有限担保","202201290395866466","1","-999999","0.000000","0","596","0","-999999","24","0","16","40","-999999.00","-999999.00","0.250000","-999999.0000","0.500000","0","1","1","0","-999999","-999999"
"D072201290048561541","萨摩耶无限担保","202201290395866463","0","-999999","1.000000","0","-999999","1","38","21","0","36","54","8000.00","8000.00","0.769200","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048561541","萨摩耶有限担保","202201290395866463","0","-999999","1.000000","0","-999999","1","38","21","0","36","54","8000.00","8000.00","0.769200","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048561952","萨摩耶无限担保","202201290397220406","0","-999999","-999999.000000","0","60","0","-999999","16","0","14","19","-999999.00","-999999.00","0.285700","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"D072201290048561952","萨摩耶有限担保","202201290397220406","0","-999999","-999999.000000","0","60","0","-999999","16","0","14","19","-999999.00","-999999.00","0.285700","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"D072201290048562094","萨摩耶无限担保","202201290397221424","0","-999999","1.000000","0","355","1","-999999","30","0","61","55","3000.00","3000.00","0.842100","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048562094","萨摩耶有限担保","202201290397221424","0","-999999","1.000000","0","355","1","-999999","30","0","61","55","3000.00","3000.00","0.842100","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048562271","萨摩耶无限担保","202201290397222619","1","-999999","1.000000","0","-999999","0","-999999","21","0","45","39","3000.00","3000.00","0.666700","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048562271","萨摩耶有限担保","202201290397222619","1","-999999","1.000000","0","-999999","0","-999999","21","0","45","39","3000.00","3000.00","0.666700","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048562368","萨摩耶无限担保","202201290397223015","1","-999999","1.000000","0","379","1","-999999","10","0","7","20","5000.00","5000.00","0.666700","-999999.0000","0.666700","0","1","1","0","-999999","-999999"
"D072201290048562368","萨摩耶有限担保","202201290397223015","1","-999999","1.000000","0","379","1","-999999","10","0","7","20","5000.00","5000.00","0.666700","-999999.0000","0.666700","0","1","1","0","-999999","-999999"
"D072201290048571341","萨摩耶无限担保","202201290395866465","0","-999999","1.000000","0","32","2","-999999","17","0","34","61","27000.00","59000.00","0.625000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048571341","萨摩耶有限担保","202201290395866465","0","-999999","1.000000","0","32","2","-999999","17","0","34","61","27000.00","59000.00","0.625000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048571529","萨摩耶无限担保","202201290397219116","0","-999999","0.000000","0","-999999","0","-999999","7","0","18","151","-999999.00","0.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048571529","萨摩耶有限担保","202201290397219116","0","-999999","0.000000","0","-999999","0","-999999","7","0","18","151","-999999.00","0.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048571547","萨摩耶无限担保","NINGBOTONGSHANG00000000001016900","0","-999999","0.000000","0","90","0","-999999","11","0","76","151","-999999.00","0.00","0.678600","900.0000","0.964300","0","1","1","0","-999999","-999999"
"D072201290048571547","萨摩耶有限担保","NINGBOTONGSHANG00000000001016900","0","-999999","0.000000","0","90","0","-999999","11","0","76","151","-999999.00","0.00","0.678600","900.0000","0.964300","0","1","1","0","-999999","-999999"
"D072201290048571667","萨摩耶无限担保","202201290397220457","1","-999999","-999999.000000","0","-999999","0","-999999","28","0","105","62","-999999.00","-999999.00","0.800000","-999999.0000","0.880000","0","1","0","0","-999999","-999999"
"D072201290048571667","萨摩耶有限担保","202201290397220457","1","-999999","-999999.000000","0","-999999","0","-999999","28","0","105","62","-999999.00","-999999.00","0.800000","-999999.0000","0.880000","0","1","0","0","-999999","-999999"
"D072201290048571901","萨摩耶无限担保","202201290397222129","0","-999999","1.000000","0","4","0","37","25","0","43","125","1000.00","50000.00","0.272700","-999999.0000","0.818200","0","1","1","0","-999999","-999999"
"D072201290048571901","萨摩耶有限担保","202201290397222129","0","-999999","1.000000","0","4","0","37","25","0","43","125","1000.00","50000.00","0.272700","-999999.0000","0.818200","0","1","1","0","-999999","-999999"
"D072201290048572068","萨摩耶无限担保","202201290397223005","0","-999999","-999999.000000","0","119","0","39","40","7","57","60","-999999.00","-999999.00","0.894700","700.0000","0.894700","0","1","0","0","-999999","-999999"
"D072201290048572068","萨摩耶有限担保","202201290397223005","0","-999999","-999999.000000","0","119","0","39","40","7","57","60","-999999.00","-999999.00","0.894700","700.0000","0.894700","0","1","0","0","-999999","-999999"
"D072201290048572121","萨摩耶无限担保","202201290397223209","1","-999999","0.000000","0","-999999","0","-999999","23","0","46","38","-999999.00","-999999.00","0.875000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048572121","萨摩耶有限担保","202201290397223209","1","-999999","0.000000","0","-999999","0","-999999","23","0","46","38","-999999.00","-999999.00","0.875000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201290048581440","萨摩耶无限担保","202201290395866467","0","-999999","-999999.000000","0","-999999","0","-999999","17","0","55","45","-999999.00","-999999.00","0.625000","-999999.0000","0.750000","0","1","0","0","-999999","-999999"
"D072201290048581440","萨摩耶有限担保","202201290395866467","0","-999999","-999999.000000","0","-999999","0","-999999","17","0","55","45","-999999.00","-999999.00","0.625000","-999999.0000","0.750000","0","1","0","0","-999999","-999999"
"D072201290048581441","萨摩耶无限担保","202201290395866468","0","-999999","0.375000","0","38","1","52","20","4","20","85","1000.00","14000.00","0.444400","-999999.0000","0.888900","0","1","1","0","-999999","-999999"
"D072201290048581441","萨摩耶有限担保","202201290395866468","0","-999999","0.375000","0","38","1","52","20","4","20","85","1000.00","14000.00","0.444400","-999999.0000","0.888900","0","1","1","0","-999999","-999999"
"D072201290048581442","萨摩耶无限担保","202201290395866462","0","-999999","-999999.000000","0","257","0","-999999","7","0","3","12","-999999.00","-999999.00","0.333300","-999999.0000","0.666700","0","1","0","0","-999999","-999999"
