"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"11164428714001053887","微博导流","11164333914205885238","0","-999999","-999999.000000","0","-999999","0","-999999","5","0","1","0","-999999.00","-999999.00","0.000000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164428797943851421","微博导流","11164428797943851421","1","-999999","1.000000","0","47","2","-999999","26","0","201","50","6000.00","23000.00","0.780500","-999999.0000","0.926800","0","1","1","0","-999999","-999999"
"11164428830063292982","微博导流","11164428830063292982","0","-999999","1.000000","0","-999999","1","-999999","34","0","87","35","10000.00","10000.00","0.739100","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164428841524145425","微博导流","11164361419011472661","0","-999999","0.649700","0","-999999","0","-999999","0","0","16","100","5000.00","60000.00","0.000000","560.0000","0.500000","0","1","1","0","-999999","-999999"
"11164429027931166359","微博导流","11164396484020045515","0","-999999","0.733300","0","-999999","2","-999999","3","0","29","178","1.00","84500.00","0.400000","1120.0000","1.000000","0","1","1","0","-999999","-999999"
"11164429114663470320","微博导流","11164246454366156170","1","-999999","-999999.000000","0","-999999","0","-999999","3","0","15","36","-999999.00","-999999.00","0.750000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164429358456859965","微博导流","11164334169906729224","0","-999999","1.000000","0","-999999","0","-999999","1","0","30","109","28800.00","56000.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164429544692895489","微博导流","11164429544692895489","0","-999999","1.000000","0","-999999","1","-999999","2","0","19","151","1.00","138000.00","0.000000","-999999.0000","0.666700","0","1","1","0","-999999","-999999"
"11164429578408717339","微博导流","11164429578408717339","0","-999999","-999999.000000","0","-999999","0","-999999","7","0","5","55","-999999.00","-999999.00","0.250000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164429720219998773","微博导流","11164239307102956031","0","-999999","-999999.000000","0","-999999","0","-999999","7","0","4","2","-999999.00","-999999.00","0.666700","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
